"table_name","comment"
"tbl_abundance_elements","Contains reference data that defines the type of element, part, or unit being counted, as indicated by the values in tbl_abundances. For insects, this is often the Minimum Number of Individuals (MNI), but it can also include individual body parts such as wings, shells, or leg segments. For plant remains (macrofossils), it generally represents specific plant parts like seeds, leaves, or bud scales."
"tbl_abundance_ident_levels","Represents the degree of certainty in taxonomic identification, categorized by levels such as Family, Genus, or Species (e.g., cf. Family, cf. Genus, cf. Species)."
"tbl_abundance_modifications","Contains information about modifications applied to individual specimen counts, such as carbonization, corrosion, or calcification. This enables recording multiple instances of the same taxon with varying modifications (e.g., Hordeum sp. carbonized and Hordeum sp. unmodified)."
"tbl_abundances","Records data related to biological proxies, such as individual counts, presence indicators, or scaled values, linking each entry to a specific taxon through an analysis entity. It serves as a species list detailing abundance information for a single physical sample. The intermediate analysis entity allows for the association of multiple proxies per sample. Entries typically reflect count values (abundance), but can also denote presence (1) or use categorical or relative scales, as specified by the dataset's data type."
"tbl_activity_types","Defines the life stage or activity of an organism during a specific time of the year, such as 'adult' or 'flowering'."
"tbl_age_types","Provides a reference for different chronological systems used to denote years, such as AD, BC, and BP."
"tbl_aggregate_order_types","20120504pib: drop this? or replace with alternative?"
"tbl_aggregate_samples","20120504pib: can we drop aggregate sample name? seems excessive and unnecessary sample names can be traced."
"tbl_alt_ref_types","Defines the types of alternative references or names assigned to samples. These references might include identifiers like lab numbers, field numbers, museum numbers, or site excavation numbers, indicating the origin or purpose of the sample's alternative reference."
"tbl_analysis_boolean_values","Stores analysis values that represent a boolean (true/false) condition."
"tbl_analysis_categorical_values","Storage for analysis values that represents a categorical value."
"tbl_analysis_dating_ranges","Storage for analysis values that represents a dating range."
"tbl_analysis_entities","Represents analysis entities, which are virtual constructs allowing the association of multiple proxies with a single physical sample. This enables the linking of physical samples to various measurements or counts across different methods. Analysis Entities are organized by datasets, which are constructed based on proxy requirements. Refer to the 'Dataset' documentation for more details."
"tbl_analysis_entity_ages","Represents a virtual entity that defines a single proxy within a specific physical sample, acting as a statistical sample. A physical sample can contain multiple analysis entities, each linking various proxies. This structure facilitates the precise recording of specific species used in methods like radiocarbon dating."
"tbl_analysis_entity_dimensions","Contains information about the physical dimensions of samples used for analysis, including both analyzed samples and non-analyzed residues."
"tbl_analysis_entity_prep_methods","Links analysis entities with their respective preparation methods."
"tbl_analysis_identifiers","Storage for identifiers associated to analysis values, or analysis value that represents an identifier."
"tbl_analysis_integer_ranges","Storage for analysis values that represents an integer range."
"tbl_analysis_integer_values","Storage for analysis values that represents an integer value."
"tbl_analysis_notes","Storage for notes associated to an analysis value."
"tbl_analysis_numerical_ranges","Storage for analysis values that represents a numerical range."
"tbl_analysis_numerical_values","Storage for analysis values that represents a numerical."
"tbl_analysis_taxon_counts","Storage for analysis values that represents a taxon counts."
"tbl_analysis_value_dimensions","Storage for dimension of analysis value."
"tbl_analysis_values","Stores results from an analysis as a (untyped) string value."
"tbl_biblio","Central repository for storing bibliographic references in the SEAD database. It stores detailed citations, including author, title, year, publisher, and DOI/URL for various sources such as books and articles. This table connects to domain-specific tables via foreign keys, ensuring data integrity and supporting research by centralizing bibliographic information."
"tbl_ceramics_lookup","Serves as a reference for ceramic types and their associated details."
"tbl_ceramics_measurements","Contains measurements from ceramic analysis processes."
"tbl_ceramics","Stores analysis results from ceramic thin-sections and sherds."
"tbl_chronologies","Represents a collection of dated samples grouped for specific purposes, such as assigning a unified age range to samples in a master dataset or developing an age-depth model for a lake. These chronologies may also be used to integrate with external services that limit the scope of dating evidence, such as GBIF or SBDI."
"tbl_colours","Contains the names and definitions of colours as classified by specific methods or colour spaces, such as Munsell or 2.5YR."
"tbl_contact_types","Specifies various contact types, categorizing them by their roles or functions such as laboratory, sample taker, or dataset creator. This categorization aids in linking contacts to their respective roles within the system."
"tbl_contacts","Contains contact information for various roles, such as dataset authors, specimen identifiers, and laboratory managers."
"tbl_coordinate_method_dimensions","Defines the dimensions applicable to each coordinate system method and specifies any legal values for these dimensions. Each entry associates a coordinate system method with its corresponding dimensions and their permissible value ranges."
"tbl_data_type_groups","Contains classifications for various data types, such as relative scale and semi-quantitative."
"tbl_data_types","Specifies the types of quantification methods used in datasets, including definitions of each classification system."
"tbl_dataset_contacts","Contains information about one or more contacts related to a dataset, such as data providers or digitalisers."
"tbl_dataset_masters","Represents a major grouping identifier for datasets, typically indicating a contributing database, project, user, or laboratory (e.g., BugsCEP, MAL, Lund Dendro Lab)."
"tbl_dataset_submission_types","Serves as a lookup for different types of dataset submissions, such as original submissions or data ingested from external databases."
"tbl_dataset_submissions","Contains records of various submission events related to a dataset, such as initial recording, database entries, and integrations with SEAD."
"tbl_datasets","Organizes collections of analysis entities into datasets, which are structured collections relevant to the specific proxy being studied. For biological proxies, a dataset typically corresponds to a spreadsheet containing samples and taxa for a single analysis method, such as phosphates through citric acid extraction."
"tbl_dating_labs","Contains identifiers and names of radiocarbon laboratories sourced from radiocarbon.org/laboratories. Ensures transparency and traceability in radiocarbon and other radiometric dating records."
"tbl_dating_material","Contains information about materials used for dating processes. Materials can be linked to a specific taxon, pseudotaxon, or described in the 'material_dated' field. Specific components of abundance, such as seeds or elytrons, can also be indicated. A single dating instance may involve multiple materials."
"tbl_dating_uncertainty","Defines various types of dating uncertainties, such as 'from', 'to', 'circa (Ca.)', and '?'. These uncertainties help specify date ranges or approximate periods, such as 'from Mesolithic to Neolithic' or 'from AD 100 to AD 300'."
"tbl_dendro_dates","20130722PIB: Added field dating_uncertainty_id to cater for >< etc. 20130722pib: prefixed fieldnames age_younger and age_older with ""cal_"" to conform with equivalent names in other tables"
"tbl_dendro_lookup","type=lookup"
"tbl_dimensions","Contains definitions of various measurement types, such as sample weight and core length, categorized by method group."
"tbl_ecocode_definitions","Contains definitions for ecological, habitat, or ethnographic categories, which are linked to specific taxa within a defined classification system."
"tbl_ecocode_groups","Represents a hierarchical classification system for taxon groups, allowing integration of diverse classification types such as habitat, food type, and food condition."
"tbl_ecocode_systems","Defines various systems used for classifying specific attributes of taxa, including habitat preferences, food types, and cultural uses."
"tbl_ecocodes","Associates ecological classifications with specific taxa."
"tbl_feature_types","Categorizes archaeological features by their function, shape, or construction to facilitate the study of historical human activities. Categories include: domestic structures (e.g., homes), public and ceremonial spaces (e.g., temples, public buildings), economic and industrial areas (e.g., workshops, kilns), defensive structures (e.g., fortifications, walls), agricultural modifications (e.g., terraces, irrigation systems), funerary sites (e.g., graves, tombs), transportation routes (e.g., roads, bridges), and water management systems (e.g., wells, aqueducts). These classifications provide insights into societal organization, cultural practices, and technological advancements across various eras and regions."
"tbl_features","Represents archaeological features, which are immovable traces of past human activities. These features include structures or landscape modifications such as building remains, hearths, burials, pits, roads, terraces, and defensive constructions like mounds and ditches. They are vital for understanding the spatial organization, cultural practices, and daily life of ancient societies, providing context for interpreting artifacts and environmental interactions. Archaeological features are analyzed in situ through excavation and surveying to offer insights into historical human-environment dynamics."
"tbl_geochron_refs","Contains references for geochronological (radiometric) dating of samples."
"tbl_geochronology","Contains radiometric dating information for samples, primarily radiocarbon, but also includes other methods such as Uranium series. These are also referred to as absolute dates."
"tbl_horizons","Represents the layer of soil from which samples are taken, classified according to a recognized standard (e.g., FAO A horizon)."
"tbl_identification_levels","Serves as a lookup for taxonomic identification levels, detailing the resolution or uncertainty in identification, such as 'cf. Family', 'cf. Genus', or 'cf. Species'."
"tbl_image_types","Specifies the purpose of images, such as site photos, sample group sketches, and core photos."
"tbl_isotope_standards","Type=lookup"
"tbl_isotope_types","Type=lookup"
"tbl_languages","Specifies human languages used for the common names of taxa."
"tbl_lithology","Provides a detailed description of sedimentary units within a sample group. It allows for the characterization of a soil profile at various depths, corresponding to the sample depths (e.g., 0-10 cm: humus, 10-30 cm: sand)."
"tbl_location_types","Contains definitions for various geographical terms, specifying their resolution and context (e.g., administrative unit, historical administrative unit, lake, country)."
"tbl_locations","Represents geographical locations, typically defined by regions. These can be current or historical locations."
"tbl_mcr_names","Contains the original taxon names utilized in the Birmingham MCR calculation system for climate reconstruction. It ensures the reproducibility of results and facilitates comparison with historical data."
"tbl_mcr_summary_data","Contains concise summaries detailing the temperature tolerance limits of MCR species."
"tbl_mcrdata_birmbeetledat","Stores species climate envelopes using binary 1-degree Celsius cells, categorized by TRange (columns) and TMax (rows). For more information, visit www.bugscep.com."
"tbl_measured_value_dimensions","Stores dimensional measurements of samples, such as weight before and after burning, volume, or other similar metrics."
"tbl_measured_values","Records continuous chemical or physical values related to specific sample analyses. Each Sample Analysis can have zero or one associated Measured Value."
"tbl_method_groups","Categorizes various analysis methods into groups based on their similarities, such as dating methods, isotope analyses, palaeoentomology, or geographic location."
"tbl_methods","Contains definitions and details of various analysis methods."
"tbl_modification_types","Specifies various modifications or alterations observed in Quaternary or sub-fossils, such as carbonization, mineralization, and fragmentation."
"tbl_physical_sample_features","Establishes a many-to-many relationship between samples and specific features, allowing a feature to be related to multiple samples and a sample to be linked to multiple features. This supports scenarios where samples originate from nested feature groups or features with multiple identifiers."
"tbl_physical_samples","Records information about physical samples collected from specific sites. Each sample is characterized by its location within the site, its physical properties measured in specific units (e.g., liters, kilograms), and its context within a sample set. Additionally, samples may have descriptive information, notes, and external identifiers linked to other systems."
"tbl_project_stages","Defines the various stages of an investigation, such as desktop study, prospection, full excavation, and reanalysis."
"tbl_project_types","Defines the categories of projects based on their primary purpose or objective, such as teaching, consultancy, research, or their combinations."
"tbl_projects","Contains information about projects, including their names and descriptions, pertinent to datasets for specific sites."
"tbl_rdb_codes","Definitions of rarity categories across various systems, as specified in tbl_rdb_systems."
"tbl_rdb_systems","Details of rarity designation systems (commonly known as Red Data Books) and the regions where they are applicable."
"tbl_rdb","Contains rarity data for taxa within specific geographical areas (e.g., threatened species in Sweden)."
"tbl_record_types","Categorizes biological proxies based on their general usage or origin, enabling the creation of meaningful subsets from the complete taxonomic index and associated abundance elements. It ensures relevance by excluding options like 'seed' from datasets related to insects. The classification is primarily at the 'Order' level in the taxonomic hierarchy. For example, 'Insects & similar' includes insects, arthropods, and other related animals, while 'Plants & pollen' groups entities with shared ecological significance, such as plant presence."
"tbl_relative_age_refs","Stores bibliographic references that define the accepted authority for a dating period, rather than the dating of a specific sample."
