"table_schema","table_name","column_name","ordinal_position","data_type","numeric_precision","numeric_scale","character_maximum_length","is_nullable","is_pk","is_fk","fk_table_name","fk_column_name","schema","table_name-2","column_name-2","comment","object_type"
"public","tbl_abundance_elements","abundance_element_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_abundance_elements","abundance_element_id","Primary key (automatically incremented).","column"
"public","tbl_abundance_elements","record_type_id",2,"integer",32,0,NULL,"YES","NO","YES","tbl_record_types","record_type_id","public","tbl_abundance_elements","record_type_id","Specifies record types, thereby restricting the list of available elements based on the record type. This facilitates the use of the same term for different proxies, such as 'mni insects' versus 'mni seeds', without causing confusion.","column"
"public","tbl_abundance_elements","element_name",3,"character varying",NULL,NULL,100,"NO","NO","NO",NULL,NULL,"public","tbl_abundance_elements","element_name","Abbreviated name for the element, such as 'mni', 'seed', or 'leaf'.","column"
"public","tbl_abundance_elements","element_description",4,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_abundance_elements","element_description","Detailed description of the element, such as 'minimum number of individuals', 'base of seed grain', or 'covering of leaf or flower bud'.","column"
"public","tbl_abundance_elements","date_updated",5,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_abundance_ident_levels","abundance_ident_level_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_abundance_ident_levels","abundance_ident_level_id","Primary key (automatically incremented).","column"
"public","tbl_abundance_ident_levels","abundance_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_abundances","abundance_id","public","tbl_abundance_ident_levels","abundance_id","Specifies the related abundance record.","column"
"public","tbl_abundance_ident_levels","identification_level_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_identification_levels","identification_level_id","public","tbl_abundance_ident_levels","identification_level_id","Specifies the specific identification level.","column"
"public","tbl_abundance_ident_levels","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_abundance_modifications","abundance_modification_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_abundance_modifications","abundance_modification_id","Primary key (automatically incremented).","column"
